Id,SalePrice
1461,123851.34025961006
1462,155870.31880484335
1463,170448.81478314
1464,196172.29427619587
1465,200729.57568305323
1466,180473.13628273978
1467,176667.873360491
1468,167013.82823540916
1469,189429.59581220977
1470,95009.41359381186
1471,194795.01156639366
1472,98035.10392524314
1473,76384.87898126809
1474,139361.47233916595
1475,119452.74565728905
1476,358539.41621993145
1477,248873.36622027308
1478,278203.21804916
1479,278364.84429888194
1480,405183.3264049698
1481,286209.13446782524
1482,221316.82447172946
1483,197364.8672703638
1484,168906.22316871615
1485,204233.59152767673
1486,223969.89465003
1487,307157.1065389754
1488,257811.4402004384
1489,208814.20910202432
1490,228442.40001260847
1491,226137.48647379276
1492,103017.66414424102
1493,195966.03293568373
1494,275869.31856223266
1495,263836.9802456016
1496,216188.43325577307
1497,185129.1494993673
1498,158570.56804005487
1499,161728.13980082367
1500,148555.1902002807
1501,165646.9269583347
1502,154038.9515310414
1503,270861.9749701037
1504,254743.6078528884
1505,227750.02805653357
1506,198167.03619467522
1507,238274.276198639
1508,201794.32075579028
1509,155956.84812000362
1510,127638.01996112592
1511,132742.5581538903
1512,166028.0038279842
1513,168709.5268568875
1514,132320.61722947378
1515,238152.01960936002
1516,163671.13194696323
1517,167214.41461496212
1518,123817.33278200406
1519,221619.0602864424
1520,122896.24800292478
1521,132111.68436775912
1522,182360.825353087
1523,99070.65538586638
1524,119006.33521005436
1525,104148.35612579994
1526,88241.10907856816
1527,80164.05909592679
1528,150230.06363497203
1529,127877.18308853853
1530,230077.84723165262
1531,127782.31376649378
1532,104463.50959631425
1533,147136.4930278039
1534,133466.16808769343
1535,163097.83833011187
1536,113350.27070496205
1537,14290.261230973556
1538,185927.64087283824
1539,228872.52452134498
1540,117442.01943241635
1541,149128.02811239776
1542,145777.26058383507
1543,188363.3506407135
1544,66684.66372247995
1545,107494.59941336019
1546,125676.21214264297
1547,140251.05404249573
1548,140051.1848975324
1549,106112.02261132054
1550,109542.91405556505
1551,120156.76617881685
1552,136310.6877546981
1553,184813.2969146099
1554,127853.53627123346
1555,174336.8916735545
1556,85297.64637951867
1557,128754.48164270891
1558,108977.18372153188
1559,79338.9828595761
1560,120023.2389398542
1561,159720.28077988795
1562,121091.93467870171
1563,119622.39239404362
1564,139627.38184523556
1565,143057.81388381319
1566,258945.14909414592
1567,60466.47796223886
1568,209667.85815673403
1569,102490.04169761622
1570,139773.4366137937
1571,106574.62827110395
1572,126908.2887598298
1573,248499.00034129643
1574,111140.55583581442
1575,245108.93461445696
1576,241228.7909670746
1577,199154.78983488475
1578,139489.52153858036
1579,115700.5704341938
1580,200409.72794348752
1581,159835.82237590355
1582,98516.23991638563
1583,279448.88849331636
1584,243688.11415967575
1585,138403.44146728405
1586,61500.05609152216
1587,98248.38962251034
1588,135823.09513717852
1589,95034.52912516105
1590,129504.5787928513
1591,80182.38390250699
1592,122899.57083802263
1593,123727.45117213056
